"plot_id" "Domain" "Leaf_flush" "mean_ndvi" "sd_ndvi"
"46" 59 "Amazonia" "Evergreen" 0.369558965368324 0.0752394901573615
"47" 60 "Amazonia" "Evergreen" 0.439646961880285 0.108423532371704
"48" 61 "Amazonia" "Evergreen" 0.351825788536058 0.0834627668277593
"49" 62 "Amazonia" "Evergreen" 0.251346782782268 0.0655792559203884
"50" 63 "Amazonia" "Evergreen" 0.506677188428762 0.103912385054866
"51" 64 "Amazonia" "Evergreen" 0.48867160891096 0.0894397700637654
"52" 65 "Amazonia" "Evergreen" 0.43768270637343 0.0740932364011508
"53" 66 "Amazonia" "Evergreen" 0.496954474982893 0.099017522081184
"54" 70 "Amazonia" "Evergreen" 0.313496268981232 0.076087822952089
"55" 72 "Amazonia" "Evergreen" 0.411459976479252 0.0700142152143006
"56" 73 "Amazonia" "Evergreen" 0.564933538478266 0.11340222033466
"57" 74 "Amazonia" "Evergreen" 0.449860331079754 0.110622060447763
"58" 75 "Amazonia" "Evergreen" 0.460030808031193 0.130628437357119
"59" 76 "Amazonia" "Evergreen" 0.506250749262999 0.0594858246450506
"60" 77 "Amazonia" "Evergreen" 0.308295378269458 0.111522552515008
"61" 78 "Amazonia" "Evergreen" 0.443223781306654 0.126161698732935
"62" 80 "Amazonia" "Evergreen" 0.443374934232285 0.11067582583569
"63" 81 "Amazonia" "Evergreen" 0.415618912297172 0.127923370877368
"64" 83 "Amazonia" "Evergreen" 0.468267453188672 0.0690776133721758
"65" 84 "Amazonia" "Evergreen" 0.463275738041489 0.095263785789948
"66" 85 "Amazonia" "Evergreen" 0.506175497934272 0.155142200473863
"67" 87 "Amazonia" "Evergreen" 0.469230247226794 0.0397889461179266
"68" 88 "Amazonia" "Evergreen" 0.550250409782429 0.0781687719252335
"69" 89 "Amazonia" "Evergreen" 0.497158918335015 0.101114265069671
"70" 90 "Amazonia" "Evergreen" 0.347029984749628 0.114713666684782
"71" 91 "Amazonia" "Evergreen" 0.453845325206218 0.087860366530434
"72" 92 "Amazonia" "Evergreen" 0.455888903188883 0.0779211317252607
"73" 93 "Amazonia" "Evergreen" 0.385990768876441 0.082363812152017
"74" 94 "Amazonia" "Evergreen" 0.431993902894787 0.105104542475661
"75" 96 "Amazonia" "Evergreen" 0.445752911941459 0.0986183157435126
"76" 97 "Amazonia" "Evergreen" 0.498087025808072 0.0832433589062848
"77" 100 "Amazonia" "Evergreen" 0.406216840949858 0.0935287100217534
